machine_id,machine_type,age_years,operational_hours,temperature_avg,temperature_std,vibration_avg,vibration_std,pressure_avg,rotation_speed_avg,humidity_avg,load_pct,oil_quality_index,days_since_last_maintenance,num_previous_failures,failure_within_14_days
M-0022,Compressor,1.25,3935.0,77.22,2.09,2.637,0.19,85.76,1399.9,43.2,46.1,89.1,89,1,0
M-0023,Turbine,1.78,3664.0,76.68,2.43,3.625,0.493,106.28,1736.0,59.2,46.3,72.7,138,0,0
M-0024,Conveyor,3.89,15183.0,48.31,2.62,2.629,0.354,117.02,1157.9,69.0,38.1,91.1,41,1,0
M-0025,Conveyor,7.92,31764.0,66.44,3.55,3.454,0.618,117.97,1570.9,64.7,89.3,89.8,51,1,0
M-0026,Pump,2.82,4998.0,68.52,2.71,2.883,0.515,98.71,1722.2,42.3,108.6,89.1,16,0,0
M-0027,Compressor,2.55,4561.0,65.69,2.51,2.269,0.037,107.13,1506.9,50.6,56.4,96.6,1,0,0
M-0028,Pump,3.73,6749.0,64.12,1.81,2.431,0.261,95.62,1595.9,37.1,41.2,93.3,60,1,0
M-0029,Pump,5.53,17559.0,61.99,1.85,2.537,0.245,105.53,1866.5,34.1,24.7,97.4,10,1,0
M-0030,Motor,3.3,6044.0,62.31,2.96,1.788,0.188,103.11,1914.2,32.0,60.6,96.9,13,0,0
M-0031,Conveyor,8.6,32677.0,75.48,4.89,4.899,0.872,93.17,1400.3,41.9,59.3,57.6,224,2,1
M-0032,Turbine,8.83,31244.0,71.36,2.45,3.38,0.553,98.83,1348.0,51.5,53.3,90.6,7,2,0
M-0033,Compressor,3.89,14461.0,62.58,2.13,2.179,0.304,105.1,1283.8,21.2,69.0,99.0,4,0,0
M-0034,Compressor,13.81,40317.0,87.18,3.24,3.854,0.441,91.49,1665.5,47.4,72.1,95.2,4,2,0
M-0035,Compressor,4.52,18923.0,67.08,0.8,2.962,0.42,94.08,1169.8,69.2,70.8,89.6,48,1,0
M-0036,Pump,8.64,13992.0,65.83,2.11,2.099,0.471,120.84,1409.9,63.7,59.3,93.8,20,1,0
M-0037,Pump,5.43,14021.0,56.4,2.2,1.985,0.215,135.99,1500.6,39.8,45.2,97.1,18,0,0
M-0038,Compressor,5.36,12721.0,72.78,2.56,3.229,0.523,79.75,1351.3,28.4,77.0,81.8,36,3,0
M-0039,Pump,0.99,4000.0,54.91,1.87,1.386,0.144,81.77,1554.8,54.4,65.2,94.8,5,0,0
M-0040,Motor,1.65,5052.0,60.8,2.66,2.064,0.089,85.3,2049.6,15.6,81.0,100.0,6,1,0
M-0041,Compressor,3.44,12634.0,76.94,2.64,3.463,0.5,95.01,1433.3,63.5,79.2,92.2,112,0,0
M-0042,Conveyor,8.79,17230.0,66.79,2.62,3.888,0.591,107.85,1351.4,45.0,39.4,82.9,96,2,0
M-0043,Motor,5.48,22705.0,68.63,2.7,2.249,0.345,105.6,1693.3,73.6,39.2,88.0,37,1,0
M-0044,Compressor,3.46,9849.0,66.65,2.77,3.486,0.487,98.5,1508.8,23.8,51.4,71.6,110,1,0
M-0045,Conveyor,6.55,18549.0,64.67,2.13,2.093,0.222,105.47,1794.9,60.9,46.0,100.0,4,0,0
M-0046,Conveyor,8.58,35358.0,57.41,2.71,3.083,0.531,86.61,1494.6,46.6,78.6,97.0,36,0,0
M-0047,Compressor,4.31,10904.0,74.75,3.61,2.724,0.301,94.53,1422.3,43.4,71.3,100.0,51,0,0
M-0048,Compressor,5.03,12952.0,78.54,1.72,3.156,0.533,95.55,1060.7,28.8,84.8,88.3,83,0,0
M-0049,Motor,4.59,14124.0,67.06,2.05,1.774,0.345,75.73,1120.1,56.3,72.1,98.2,39,0,0
M-0050,Pump,4.12,7600.0,60.03,2.38,2.141,0.219,81.4,1069.8,57.5,68.8,86.9,38,0,0
M-0051,Pump,2.28,5397.0,63.05,1.77,2.216,0.209,82.32,1561.2,73.0,86.6,100.0,16,0,0
M-0052,Pump,2.13,4316.0,61.1,2.86,2.309,0.097,108.52,1175.8,62.1,73.5,86.7,50,0,0
M-0053,Conveyor,6.52,11598.0,57.51,2.72,2.211,0.353,101.47,1754.1,39.7,66.2,100.0,6,1,0
M-0054,Motor,8.69,33344.0,75.38,3.84,3.768,0.611,102.24,1435.6,33.9,91.6,76.2,88,1,1
M-0055,Motor,3.46,10681.0,54.89,1.89,1.633,0.26,72.78,1429.7,28.8,67.1,99.0,31,0,0
M-0056,Conveyor,3.39,8379.0,59.37,1.83,1.159,0.242,78.18,1302.5,68.6,59.5,100.0,5,0,0
M-0057,Compressor,0.73,1892.0,64.5,1.69,2.019,0.226,108.62,1629.5,37.1,49.9,95.3,16,0,0
M-0058,Motor,0.58,1556.0,61.38,2.04,2.052,0.137,59.53,1305.4,68.7,77.7,89.6,28,2,0
M-0059,Pump,10.16,32619.0,75.61,4.23,3.828,0.852,109.56,1197.9,55.4,87.3,73.1,158,1,1
M-0060,Pump,2.41,9630.0,63.56,2.35,2.079,0.453,72.61,1740.5,52.6,64.1,90.4,51,1,0
M-0061,Motor,17.27,69419.0,78.87,5.15,4.986,1.124,103.28,1482.1,43.7,88.5,72.4,71,7,1
M-0062,Compressor,2.76,7068.0,69.57,2.89,3.939,0.766,81.89,1384.6,57.2,29.5,59.3,208,2,0
M-0063,Motor,1.02,2435.0,65.08,1.48,1.748,0.296,113.07,1622.9,47.8,64.0,90.4,62,0,0
M-0064,Conveyor,4.61,12539.0,57.86,0.97,1.759,0.137,143.54,1486.5,42.8,64.3,100.0,3,0,0
M-0065,Motor,7.29,22110.0,69.01,3.49,3.16,0.565,64.25,1540.0,57.7,51.9,78.1,56,4,0
M-0066,Motor,6.75,18554.0,71.96,4.04,3.628,0.723,103.35,1248.5,46.0,107.9,79.7,67,0,0
M-0067,Motor,7.78,25500.0,66.17,2.73,2.105,0.404,72.21,1927.6,36.8,63.8,100.0,17,1,0
M-0068,Compressor,1.91,5722.0,60.27,1.07,2.762,0.151,104.84,1359.7,56.4,57.7,90.1,8,0,0
M-0069,Pump,10.01,23677.0,63.0,3.95,2.969,0.45,93.43,1801.0,47.1,65.5,94.2,37,1,0
M-0070,Compressor,10.39,25279.0,83.51,4.34,5.057,0.971,93.27,1362.3,54.8,28.9,65.9,280,2,1
M-0071,Pump,10.68,26939.0,73.31,3.36,2.987,0.595,82.53,1624.7,41.6,51.3,86.2,69,2,1
M-0072,Compressor,5.16,9053.0,72.22,3.47,3.6,0.537,107.05,1617.9,31.1,82.7,94.6,92,1,0
M-0073,Conveyor,3.25,6340.0,56.79,1.81,2.37,0.281,77.33,1725.4,72.3,53.7,89.1,67,0,0
M-0074,Pump,3.03,10469.0,68.85,1.72,1.251,0.112,115.92,1298.6,69.7,50.1,93.3,19,0,0
M-0075,Pump,1.01,2585.0,64.59,2.45,2.182,0.487,92.02,1711.4,60.4,88.6,97.7,43,0,0
M-0076,Compressor,2.81,5849.0,76.82,4.91,3.269,0.802,75.83,1855.2,42.6,89.1,87.5,132,0,0
M-0077,Compressor,0.31,932.0,64.2,2.05,2.775,0.242,121.35,1432.1,43.8,74.3,92.2,16,0,0
M-0078,Motor,0.88,3098.0,57.57,2.59,1.293,0.02,98.71,1503.7,67.4,56.8,98.7,3,0,0
M-0079,Motor,5.12,11238.0,71.22,5.08,3.879,0.785,119.08,1299.1,43.0,60.7,71.8,343,1,1
M-0080,Conveyor,3.55,13232.0,60.43,2.34,2.053,0.316,115.44,1405.2,39.1,50.5,93.3,22,4,0
M-0081,Motor,4.96,19880.0,78.36,3.3,3.089,0.873,82.44,1804.6,74.2,47.1,57.5,209,1,0
M-0082,Compressor,6.92,21541.0,71.41,3.38,2.897,0.31,95.49,1241.7,47.3,46.2,84.2,40,2,0
M-0083,Conveyor,5.62,18582.0,58.14,1.51,2.878,0.331,99.26,1265.4,72.8,53.9,93.9,37,1,0
M-0084,Pump,5.29,8692.0,66.61,3.37,2.94,0.362,118.94,1827.1,28.4,46.4,95.1,48,1,0
M-0085,Pump,4.03,16315.0,56.08,2.34,2.289,0.379,104.2,1615.7,55.3,36.9,95.3,39,0,0
M-0086,Pump,2.33,5975.0,63.89,1.17,2.618,0.402,99.1,1928.6,77.0,68.9,87.0,148,0,0
M-0087,Conveyor,1.45,5792.0,50.1,1.66,1.855,0.04,96.24,1390.1,48.4,69.2,95.8,24,1,0
M-0088,Compressor,2.87,8800.0,77.62,2.92,2.71,0.436,96.55,1496.9,44.3,95.6,97.9,7,0,0
M-0089,Pump,4.08,6163.0,69.64,2.6,3.247,0.545,114.94,1317.3,31.7,53.0,80.9,88,0,1
M-0090,Motor,4.46,7148.0,58.21,3.02,2.21,0.383,97.14,1498.7,63.2,70.3,81.5,52,1,0
M-0091,Pump,7.79,25992.0,57.82,1.93,2.935,0.391,91.97,1081.6,37.2,70.6,96.0,2,2,0
M-0092,Motor,3.81,11506.0,64.3,1.51,2.366,0.265,89.98,1626.8,46.7,60.4,93.7,51,0,0
M-0093,Compressor,6.26,9835.0,71.77,2.91,2.928,0.403,88.37,1527.6,30.7,78.4,90.3,75,2,0
M-0094,Compressor,1.16,4073.0,62.16,2.13,2.348,0.365,78.75,1469.1,69.8,79.0,90.7,17,0,0
M-0095,Compressor,5.17,19652.0,75.95,2.0,2.452,0.327,87.61,1392.9,64.2,70.9,100.0,24,0,0
M-0096,Motor,4.92,13969.0,64.37,2.8,1.675,0.299,119.48,1286.3,47.6,60.4,100.0,6,2,0
M-0097,Compressor,10.01,27602.0,74.17,2.25,3.23,0.587,93.74,1622.2,31.8,58.6,94.3,15,2,0
M-0098,Pump,3.55,5374.0,59.54,2.41,2.971,0.188,107.93,1220.6,69.5,40.4,95.9,51,0,0
M-0099,Pump,3.43,12447.0,62.9,1.95,1.414,0.154,64.2,1600.3,42.9,50.5,98.2,1,2,0
M-0100,Turbine,6.95,16636.0,72.11,1.74,3.524,0.43,104.82,1921.1,32.5,53.8,96.0,67,1,0
M-0101,Turbine,1.56,6025.0,74.9,2.21,3.989,0.445,93.73,1781.7,23.3,44.8,64.0,131,0,1
M-0102,Motor,5.08,12728.0,66.2,2.16,1.792,0.351,91.53,1149.4,39.0,72.9,100.0,5,0,0
M-0103,Pump,1.48,4490.0,57.34,3.62,2.331,0.331,100.04,1353.9,27.6,86.5,87.6,26,1,0
M-0104,Turbine,12.94,28847.0,82.97,3.43,3.571,0.422,88.85,1545.3,39.3,48.7,93.0,11,1,0
M-0105,Conveyor,3.09,5983.0,56.6,0.99,2.194,0.247,68.86,1468.7,58.4,70.1,98.1,30,0,0
M-0106,Motor,1.39,5011.0,68.03,0.2,1.822,0.259,111.49,1176.1,42.7,46.4,99.6,71,0,0
M-0107,Compressor,2.86,8114.0,62.81,2.5,2.597,0.343,101.91,1567.9,53.0,59.5,100.0,48,0,0
M-0108,Pump,5.1,15033.0,58.71,2.18,2.256,0.336,93.64,1475.7,37.9,52.6,96.6,24,1,0
M-0109,Pump,6.13,25154.0,59.99,3.23,2.835,0.424,83.69,1889.9,48.9,75.8,89.8,10,3,0
M-0110,Turbine,9.67,39673.0,82.48,3.22,4.878,0.731,73.43,1376.9,74.9,52.8,86.2,182,1,1
M-0111,Compressor,2.59,9859.0,68.83,2.47,2.732,0.284,101.11,1734.2,43.1,83.2,95.7,14,0,0
M-0112,Pump,7.16,14376.0,61.93,2.93,1.936,0.275,120.12,1193.5,53.4,60.6,96.3,16,0,0
M-0113,Compressor,0.88,2720.0,60.86,1.49,1.999,0.199,102.15,1266.0,26.1,53.3,91.0,1,0,0
M-0114,Motor,1.79,6946.0,63.96,2.61,2.493,0.431,76.99,1617.7,69.3,42.4,93.2,200,0,0
M-0115,Pump,1.19,2997.0,61.19,2.11,2.014,0.429,101.56,1720.5,41.3,69.6,93.9,68,0,0
M-0116,Conveyor,2.22,3944.0,57.39,2.81,2.511,0.498,96.62,1259.7,62.7,81.1,100.0,90,0,0
M-0117,Conveyor,6.95,25642.0,60.88,3.08,3.009,0.586,107.87,1457.8,46.3,69.9,79.1,87,0,0
M-0118,Motor,2.64,7390.0,74.67,3.38,2.123,0.483,105.05,1157.2,56.6,105.3,100.0,24,0,0
M-0119,Compressor,3.05,9229.0,70.44,2.28,2.535,0.374,55.37,1428.3,57.4,90.7,96.0,27,1,0
M-0120,Motor,5.2,21569.0,72.95,1.91,2.319,0.296,104.41,1647.8,41.7,59.5,86.0,76,0,0
M-0121,Motor,5.95,18682.0,65.78,3.9,1.955,0.402,82.71,1367.9,63.3,59.3,85.1,58,2,0
M-0122,Motor,3.13,8274.0,63.23,1.58,1.273,0.228,78.91,1431.9,37.4,73.5,100.0,4,0,0
M-0123,Pump,1.78,4456.0,59.46,1.53,1.572,0.221,96.38,1240.5,58.9,49.9,99.4,31,1,0
M-0124,Compressor,11.61,30495.0,79.64,4.66,4.908,0.999,97.23,1261.5,42.5,86.0,57.2,147,2,1
M-0125,Pump,3.14,5717.0,67.61,2.21,2.126,0.37,75.25,1866.8,52.9,71.5,96.0,42,0,0
M-0126,Compressor,3.39,12358.0,69.09,2.17,3.086,0.272,107.45,1488.9,41.5,69.6,83.4,45,2,0
M-0127,Compressor,3.72,14008.0,71.65,2.26,2.559,0.238,108.63,1256.3,48.7,77.4,93.7,14,0,0
M-0128,Pump,6.38,14479.0,73.23,4.1,3.968,0.945,93.66,1352.0,33.0,96.0,81.5,181,1,1
M-0129,Pump,1.1,2556.0,66.24,2.95,2.901,0.537,84.25,1108.1,51.5,68.1,63.8,110,0,0
M-0130,Motor,14.51,56032.0,70.06,2.07,2.999,0.589,81.01,1217.5,48.6,63.0,86.4,32,6,0
M-0131,Pump,3.32,5192.0,69.4,3.65,2.15,0.36,111.65,1768.8,40.4,92.2,100.0,20,1,0
M-0132,Turbine,6.53,18975.0,75.12,2.62,3.85,0.412,75.62,1432.3,47.2,82.4,93.5,15,1,0
M-0133,Motor,1.41,3881.0,63.17,2.22,1.758,0.201,113.92,1904.9,49.9,59.2,94.9,24,1,0
M-0134,Compressor,4.83,16248.0,72.96,1.29,2.739,0.312,96.04,1460.5,39.4,65.1,96.9,8,0,0
M-0135,Motor,13.11,25451.0,74.65,2.72,2.981,0.754,94.65,1447.0,46.2,68.5,98.9,13,1,0
M-0136,Pump,11.96,39510.0,71.44,2.65,2.362,0.533,71.95,1594.5,33.9,71.5,88.3,2,2,1
M-0137,Turbine,6.42,16150.0,70.7,3.93,4.263,0.58,93.8,865.4,80.8,40.6,78.1,89,2,0
M-0138,Compressor,2.1,6660.0,62.03,1.4,2.282,0.02,107.93,1537.7,62.8,37.2,100.0,4,0,0
M-0139,Conveyor,9.34,15024.0,56.06,3.06,3.078,0.345,78.35,1456.2,51.8,49.0,95.5,2,3,0
M-0140,Pump,0.87,2388.0,63.98,1.66,2.008,0.371,105.5,1810.3,64.4,47.6,100.0,88,0,0
M-0141,Compressor,2.04,5925.0,67.7,1.78,2.498,0.286,99.79,1695.8,20.3,53.4,92.0,35,0,0
M-0142,Compressor,4.04,8402.0,66.09,2.53,3.075,0.02,87.84,1215.2,12.2,76.4,84.6,58,1,0
M-0143,Turbine,0.95,1792.0,69.17,2.94,3.027,0.347,110.17,1753.1,42.4,62.0,91.2,78,0,0
M-0144,Motor,2.85,5728.0,57.38,0.96,1.641,0.45,67.58,1424.5,28.7,68.5,93.1,31,2,0
M-0145,Compressor,7.26,17641.0,72.0,1.97,3.5,0.235,101.5,1263.3,44.7,43.0,91.5,61,1,0
M-0146,Pump,2.42,4259.0,53.59,0.77,1.291,0.369,121.5,1530.2,50.9,56.7,99.8,33,0,0
M-0147,Compressor,7.49,30400.0,82.5,3.22,4.267,0.455,113.84,1384.3,60.9,75.6,70.7,171,1,1
M-0148,Motor,16.98,44027.0,79.46,3.6,4.469,0.883,98.57,1760.9,32.1,75.7,88.4,76,4,1
M-0149,Compressor,5.63,20744.0,76.04,1.27,2.499,0.296,93.81,1552.8,53.6,52.0,97.5,16,0,0
M-0150,Pump,7.41,30591.0,69.3,2.27,2.524,0.189,87.86,1508.8,48.2,67.9,86.4,32,0,0
M-0151,Conveyor,9.55,16407.0,65.01,2.3,3.474,0.679,90.41,1638.0,52.9,104.6,96.9,10,1,0
M-0152,Conveyor,3.07,9991.0,60.47,1.6,2.457,0.404,105.72,1719.2,40.7,64.7,95.7,57,0,0
M-0153,Pump,7.29,28082.0,58.33,3.16,2.086,0.388,86.18,1644.1,67.4,52.5,94.9,13,3,0
M-0154,Motor,3.01,9659.0,59.9,2.39,1.735,0.331,108.88,1792.8,46.6,61.9,91.6,33,0,0
M-0155,Pump,5.36,14243.0,65.27,2.56,2.564,0.311,127.34,1605.5,72.8,66.7,89.4,34,0,0
M-0156,Motor,8.03,21401.0,58.15,1.96,2.022,0.197,96.3,1505.1,36.9,62.3,100.0,37,0,0
M-0157,Compressor,2.18,3488.0,65.24,0.9,2.484,0.256,80.31,1762.8,58.4,64.4,98.8,13,0,0
M-0158,Motor,0.35,1032.0,58.13,1.25,1.814,0.392,80.01,1466.9,47.2,39.0,87.6,34,1,0
M-0159,Conveyor,2.01,8415.0,59.51,2.44,2.95,0.471,108.29,1478.2,43.4,47.7,82.9,84,0,0
M-0160,Conveyor,8.83,36087.0,57.4,3.35,3.055,0.254,95.63,1839.0,56.9,62.3,83.3,13,2,0
M-0161,Pump,1.8,2897.0,60.86,2.34,2.588,0.027,111.49,1848.0,43.8,62.0,100.0,19,0,0
M-0162,Turbine,8.51,28969.0,75.74,3.33,4.068,0.403,88.65,1454.6,10.7,54.8,86.1,54,1,0
M-0163,Pump,2.02,4677.0,64.6,1.33,1.688,0.02,110.9,1392.0,5.1,61.8,100.0,10,0,0
M-0164,Pump,3.63,14311.0,67.26,2.91,2.526,0.477,94.06,1780.0,65.8,66.1,84.1,137,2,0
M-0165,Motor,4.25,6894.0,64.43,2.47,2.308,0.449,86.65,1641.3,65.2,81.0,95.4,65,1,0
M-0166,Compressor,1.79,7220.0,67.75,2.16,3.162,0.165,92.3,1546.0,74.4,63.2,86.4,66,0,0
M-0167,Conveyor,3.66,13784.0,52.9,3.58,3.027,0.406,80.96,1403.5,47.8,72.2,93.9,56,0,0
M-0168,Conveyor,1.02,1846.0,55.07,0.64,2.254,0.213,127.32,1567.0,29.9,55.3,100.0,17,0,0
M-0169,Compressor,3.28,5454.0,69.99,1.99,2.809,0.214,96.97,1476.3,42.1,75.3,100.0,27,0,0
M-0170,Turbine,4.0,15008.0,80.15,2.95,2.59,0.274,107.11,1332.3,48.2,71.8,95.9,32,1,0
M-0171,Compressor,0.37,720.0,64.69,1.19,2.654,0.057,90.96,1511.3,33.9,80.6,95.4,35,0,0
M-0172,Motor,2.0,5880.0,63.35,1.85,1.516,0.264,83.3,1536.2,71.1,77.8,100.0,62,1,0
M-0173,Pump,5.24,20832.0,61.68,2.13,1.869,0.355,94.19,1388.9,79.4,75.6,91.3,17,0,0
M-0174,Turbine,1.61,4896.0,68.52,1.73,2.66,0.214,114.45,1687.9,54.7,63.2,97.4,27,0,0
M-0175,Pump,5.86,15075.0,73.83,2.63,3.683,0.694,87.14,1720.9,47.8,69.4,65.1,157,1,1
M-0176,Pump,6.26,16909.0,70.64,3.75,3.586,0.628,82.77,1656.7,29.9,84.1,89.9,129,1,0
M-0177,Compressor,5.23,8733.0,72.95,2.66,2.864,0.277,100.14,1416.3,69.7,53.3,93.6,16,1,0
M-0178,Turbine,7.23,29758.0,71.63,3.05,3.683,0.46,103.68,1629.0,49.1,53.7,88.9,50,2,0
M-0179,Conveyor,0.95,2221.0,57.41,1.18,1.517,0.253,122.47,1511.2,44.0,68.3,97.9,11,0,0
M-0180,Conveyor,8.27,16640.0,63.43,2.82,2.917,0.428,101.58,1190.2,54.7,72.5,88.2,18,0,0
M-0181,Conveyor,1.82,4132.0,54.63,1.32,1.537,0.229,108.04,1637.1,39.8,50.2,95.8,18,0,0
M-0182,Conveyor,4.61,18927.0,58.98,2.42,2.198,0.381,107.07,1498.4,50.1,63.7,79.3,48,2,0
M-0183,Motor,12.78,22426.0,85.98,5.15,3.835,0.664,77.58,1999.9,27.8,63.3,80.6,119,1,1
M-0184,Compressor,3.23,12401.0,64.08,2.15,2.307,0.31,84.93,1802.8,63.2,25.1,94.8,29,0,0
M-0185,Conveyor,4.33,14768.0,63.12,2.14,3.306,0.406,81.21,1615.8,46.5,61.0,90.5,136,1,0
M-0186,Motor,1.83,6840.0,64.04,2.7,2.602,0.431,78.43,1521.9,64.2,62.2,79.3,100,0,0
M-0187,Compressor,12.7,52518.0,82.15,2.33,3.461,0.54,106.77,1486.9,45.2,62.1,95.1,34,1,0
M-0188,Pump,2.0,7552.0,69.93,2.06,2.842,0.411,100.65,1240.8,46.1,90.5,84.3,51,0,0
M-0189,Conveyor,6.63,26846.0,57.56,2.0,2.606,0.368,98.1,1083.6,31.0,43.1,89.7,43,0,0
M-0190,Pump,9.54,17578.0,69.71,2.69,2.297,0.437,59.82,1264.4,58.6,50.2,100.0,81,2,0
M-0191,Turbine,7.06,25773.0,75.21,3.31,3.572,0.269,125.44,1451.9,35.7,18.0,84.7,41,2,1
M-0192,Pump,5.46,16222.0,61.08,2.69,2.053,0.362,85.25,1011.6,41.2,56.3,95.6,32,0,0
M-0193,Pump,4.56,13536.0,66.83,2.74,2.156,0.37,126.25,1352.5,48.0,57.9,87.9,41,0,0
M-0194,Conveyor,1.4,5485.0,57.37,1.36,2.748,0.324,78.32,1429.9,49.7,55.8,90.9,39,0,0
M-0195,Pump,12.34,50891.0,72.16,3.12,2.921,0.567,83.43,1394.1,24.1,84.9,90.4,13,2,0
M-0196,Pump,5.15,17513.0,62.9,2.49,2.297,0.51,66.96,1329.6,44.8,80.5,99.8,1,1,0
M-0197,Motor,4.33,12145.0,65.5,1.77,1.497,0.236,103.33,1405.3,59.1,66.4,96.4,23,1,0
M-0198,Conveyor,1.69,4624.0,55.75,1.72,2.284,0.115,83.55,1867.7,42.7,58.3,94.6,20,0,0
M-0199,Pump,4.49,11408.0,78.34,4.64,4.46,0.768,77.3,1559.3,44.9,83.5,64.1,269,0,1
M-0200,Compressor,4.13,10238.0,66.29,2.09,2.865,0.139,78.66,1352.8,50.3,64.6,91.4,38,2,0
M-0201,Conveyor,12.78,32683.0,72.29,3.48,3.282,0.745,105.97,1429.7,46.2,50.3,86.0,40,1,0
M-0202,Turbine,4.33,7543.0,66.7,3.26,2.829,0.452,107.81,1469.6,33.6,34.1,95.6,49,1,0
M-0203,Motor,4.43,7578.0,67.01,2.26,2.294,0.389,123.08,1305.3,47.5,57.1,94.4,53,3,0
M-0204,Pump,1.71,6170.0,58.95,2.65,2.302,0.128,89.22,1317.6,61.9,78.6,100.0,8,0,0
M-0205,Pump,2.35,6354.0,73.62,3.14,2.838,0.63,99.58,1683.1,33.3,106.0,100.0,29,0,0
M-0206,Pump,6.11,24512.0,58.54,1.32,1.781,0.252,80.07,1386.6,42.8,66.1,98.7,4,0,0
M-0207,Pump,0.77,2430.0,56.01,1.1,1.685,0.144,94.6,1251.2,28.7,51.2,90.2,1,0,0
M-0208,Motor,8.24,13149.0,65.91,2.47,3.397,0.636,88.81,1446.4,61.2,43.7,77.3,33,4,0
M-0209,Pump,8.39,16155.0,76.32,3.45,3.953,0.821,99.95,1452.2,46.7,74.9,73.0,179,1,1
M-0210,Motor,2.15,4415.0,57.57,2.0,2.13,0.468,112.76,1049.4,36.1,33.2,90.5,29,0,0
M-0211,Motor,5.47,22615.0,63.3,2.72,1.782,0.351,111.61,1465.6,49.3,74.9,93.5,3,1,0
M-0212,Motor,9.74,20366.0,61.57,3.78,2.713,0.467,84.14,1645.2,31.1,79.7,91.8,16,1,0
M-0213,Pump,3.89,11255.0,62.83,2.35,2.194,0.216,112.21,1579.4,33.5,72.9,93.1,9,0,0
M-0214,Conveyor,3.37,13560.0,57.0,2.19,2.738,0.17,96.84,1961.9,27.6,61.0,84.1,58,1,0
M-0215,Motor,3.69,15267.0,58.77,1.03,1.702,0.28,93.38,1751.8,33.1,75.2,91.0,17,2,0
M-0216,Conveyor,5.14,10986.0,64.56,2.66,2.553,0.513,87.09,1785.1,67.0,68.1,82.2,47,2,0
M-0217,Pump,2.61,4256.0,55.7,2.05,2.168,0.303,90.73,2099.9,37.7,51.0,93.1,25,1,0
M-0218,Pump,3.15,6031.0,70.78,3.05,3.198,0.487,120.54,1623.5,54.5,98.3,91.5,46,0,0
M-0219,Turbine,5.21,8706.0,67.99,3.55,3.497,0.211,102.2,1512.2,36.3,58.7,99.9,43,0,0
M-0220,Compressor,2.95,5983.0,80.45,3.75,4.048,0.524,98.43,1669.0,58.6,79.0,75.4,99,2,0
M-0221,Compressor,1.58,4793.0,68.18,2.27,2.258,0.281,95.53,1368.0,33.6,21.5,97.7,17,0,0
M-0222,Compressor,0.7,2766.0,63.6,1.55,2.48,0.311,132.56,1504.8,48.5,88.0,99.7,19,0,0
M-0223,Motor,4.39,12956.0,65.13,2.53,2.931,0.473,114.71,1317.4,48.7,91.4,90.4,29,2,0
